rule_id,sbc_ref,detection_type,rule_text,cv_target,category,priority
EP-001,51-3.1,PRESENCE,"All equipment, including wiring, shall be arranged to facilitate its operation, inspection and maintenance and access to its connections.",Equipment accessibility; clear working space around panels,Equipment Presence & Placement,HIGH
EP-002,51-3.1,SPACING,"Equipment likely to require examination, adjustment, servicing, or maintenance while energized shall have clear working space in the direction of access to live parts, not less than specified in Chapter 729.",Clear working space dimensions around electrical equipment,Equipment Presence & Placement,HIGH
EP-003,51-4.1,LABEL,Doors into electrical control panel rooms shall be marked with a plainly visible and legible sign stating 'electrical room' or similar approved wording.,Sign 'ELECTRICAL ROOM' on door,Equipment Presence & Placement,HIGH
EP-004,51-4.1,LABEL,"Labels or other suitable means of identification shall be provided to indicate the purpose of switchgear and controlgear, unless there is no possibility of confusion.",Identification labels on switchgear and controlgear,Equipment Presence & Placement,MEDIUM
EP-005,51-4.1,PRESENCE,"Where the functioning of switchgear and controlgear cannot be observed by the operator, and where this might cause a danger, a suitable indicator complying with IEC 60073 and IEC 60447 shall be fixed in a position visible to the operator.",Status indicator lights on switchgear,Equipment Presence & Placement,HIGH
EP-006,53-6.2.1.1,PRESENCE,Every circuit shall be capable of being isolated from all live conductors. Each supply shall have a means of isolation.,Isolation device present per circuit,Equipment Presence & Placement,HIGH
EP-007,53-6.2.1.2,PRESENCE,Suitable means shall be provided to prevent any equipment from being inadvertently or unintentionally energized.,Lock-off or warning tag on isolation devices,Equipment Presence & Placement,HIGH
EP-008,53-6.4,PRESENCE,Emergency switching shall be provided where electrically powered equipment constitutes a hazard that needs to be rapidly disconnected from supply.,Emergency stop button/switch at identified hazard locations,Equipment Presence & Placement,HIGH
EP-009,55-6.1,PRESENCE,Socket-outlets shall be provided in accordance with the installation requirements for the intended use of the building.,Socket-outlets present per room function,Equipment Presence & Placement,MEDIUM
EP-010,55-8.9,LABEL,"Electric appliances shall be marked with the rated voltage, rated current or power input, and the manufacturer name or trademark.",Nameplate/marking on electric appliances,Equipment Presence & Placement,MEDIUM
